Date, Open, High, Low, Close
04/18/16, 341.60, 344.64, 338.12, 344.20
04/15/16, 343.91, 344.18, 341.89, 342.79
04/14/16, 342.90, 344.41, 341.77, 343.99
04/13/16, 336.45, 343.06, 336.45, 343.06
04/12/16, 333.16, 334.94, 330.40, 334.64
04/11/16, 331.80, 334.71, 329.11, 332.87
04/08/16, 328.62, 332.41, 328.62, 331.86
04/07/16, 330.37, 332.08, 327.08, 328.10
04/06/16, 328.73, 330.65, 327.77, 330.65
04/05/16, 332.92, 332.92, 327.75, 328.15
04/04/16, 332.78, 336.70, 331.33, 334.49
04/01/16, 335.88, 335.88, 329.47, 333.15
03/31/16, 340.25, 340.25, 336.90, 337.54
03/30/16, 338.14, 342.50, 338.14, 341.18
03/29/16, 335.82, 338.36, 334.66, 336.79
03/24/16, 339.05, 339.05, 334.71, 335.10
03/23/16, 340.23, 342.45, 338.55, 340.07
03/22/16, 339.54, 340.30, 335.42, 340.30
03/21/16, 340.34, 343.65, 338.82, 340.82
03/18/16, 340.91, 342.44, 339.31, 341.71
03/17/16, 341.75, 342.29, 334.76, 340.68
03/16/16, 340.91, 342.42, 338.75, 341.00
03/15/16, 343.23, 343.23, 340.09, 340.86
03/14/16, 342.96, 346.10, 342.96, 344.66
03/11/16, 335.80, 342.31, 335.80, 342.23
03/10/16, 339.64, 347.64, 333.50, 333.50
03/09/16, 338.28, 341.81, 337.79, 339.14
03/08/16, 339.75, 340.29, 336.19, 337.48
03/07/16, 341.43, 342.37, 338.45, 340.93
03/04/16, 339.76, 343.67, 339.09, 341.80
03/03/16, 341.24, 341.26, 338.35, 339.42
03/02/16, 339.79, 341.72, 338.12, 340.97
03/01/16, 333.76, 338.87, 332.41, 338.72
02/29/16, 330.34, 334.13, 327.47, 333.92
02/26/16, 328.01, 333.23, 328.01, 331.54
02/25/16, 321.79, 327.80, 321.79, 326.54
02/24/16, 326.99, 326.99, 318.49, 320.23
02/23/16, 331.06, 331.86, 327.51, 327.78
02/22/16, 327.33, 332.42, 327.33, 331.82
02/19/16, 328.21, 329.73, 324.08, 326.37
02/18/16, 329.50, 332.11, 326.87, 328.91
02/17/16, 320.45, 328.81, 320.45, 328.77
02/16/16, 322.76, 324.25, 318.62, 320.37
02/15/16, 315.97, 322.87, 315.97, 321.76
02/12/16, 305.55, 312.41, 305.55, 312.41
02/11/16, 313.65, 313.65, 302.59, 303.58
02/10/16, 310.28, 318.39, 309.05, 315.19
02/09/16, 314.68, 316.55, 306.12, 309.39
02/08/16, 326.78, 327.76, 313.24, 314.36
02/05/16, 328.30, 331.15, 325.36, 325.90
02/04/16, 330.64, 332.95, 324.66, 328.76
02/03/16, 334.64, 335.10, 326.01, 329.43
02/02/16, 341.13, 341.13, 332.89, 334.59
02/01/16, 343.51, 344.08, 338.14, 341.61
01/29/16, 337.10, 342.27, 336.46, 342.27
01/28/16, 339.72, 341.31, 332.78, 334.89
01/27/16, 338.69, 340.24, 335.86, 340.24
01/26/16, 333.51, 339.83, 329.49, 339.20
01/25/16, 338.99, 339.60, 334.85, 336.27
01/22/16, 330.73, 340.53, 330.73, 338.36
01/21/16, 322.51, 330.22, 321.69, 328.51
01/20/16, 328.79, 328.79, 320.46, 322.29
01/19/16, 331.15, 336.46, 331.15, 332.93
01/18/16, 330.05, 333.85, 327.11, 328.64
01/15/16, 338.88, 339.80, 327.92, 329.84
01/14/16, 342.94, 342.94, 333.26, 339.42
01/13/16, 345.30, 349.58, 343.22, 344.63
01/12/16, 339.66, 346.67, 339.05, 343.22
01/11/16, 340.58, 344.51, 340.19, 340.23
01/08/16, 346.59, 349.52, 341.35, 341.35
01/07/16, 351.47, 351.47, 341.46, 346.51
01/06/16, 358.44, 358.44, 352.05, 354.35
01/05/16, 358.03, 360.50, 354.94, 358.88
01/04/16, 365.48, 365.48, 354.83, 356.66
12/31/15, 367.55, 367.55, 365.61, 365.81
12/30/15, 369.17, 369.44, 367.38, 367.70
12/29/15, 365.27, 369.68, 365.27, 369.68
12/28/15, 366.11, 366.48, 363.79, 364.49
12/24/15, 366.05, 366.60, 365.46, 366.28
12/23/15, 359.32, 366.86, 359.32, 366.39
12/22/15, 358.12, 359.94, 355.41, 356.87
12/21/15, 360.28, 364.14, 357.15, 357.15
12/18/15, 363.69, 364.75, 360.21, 361.23
12/17/15, 363.44, 368.63, 363.44, 364.90
12/16/15, 359.70, 363.05, 358.55, 360.43
12/15/15, 350.51, 360.20, 350.51, 359.58
12/14/15, 356.80, 359.39, 349.46, 349.54
12/11/15, 362.44, 362.48, 354.78, 355.79
12/10/15, 363.12, 365.01, 360.90, 363.21
12/09/15, 365.89, 367.36, 362.41, 364.19
12/08/15, 372.08, 372.08, 364.29, 365.75
12/07/15, 371.78, 376.48, 371.78, 372.48
12/04/15, 372.03, 372.03, 367.52, 370.59
12/03/15, 383.69, 387.43, 372.11, 372.11
12/02/15, 384.55, 386.71, 383.98, 384.17
12/01/15, 386.36, 387.29, 382.91, 384.24
11/30/15, 383.45, 386.32, 381.64, 385.43
11/27/15, 383.50, 384.89, 381.59, 383.67
11/26/15, 380.96, 384.46, 380.75, 384.37
11/25/15, 375.59, 381.86, 375.35, 380.84
11/24/15, 379.58, 379.58, 372.61, 375.64
11/23/15, 381.36, 381.37, 378.45, 380.37
11/20/15, 381.95, 383.17, 379.92, 381.79
11/19/15, 380.64, 383.74, 380.34, 380.96
11/18/15, 379.24, 379.66, 376.99, 379.33
11/17/15, 372.90, 379.88, 372.90, 379.88
11/16/15, 368.03, 371.47, 366.48, 370.64
11/13/15, 371.86, 372.15, 367.26, 369.53
11/12/15, 378.31, 379.78, 371.83, 372.56
11/11/15, 376.24, 380.58, 376.24, 378.71
11/10/15, 376.44, 377.42, 373.38, 376.27
11/09/15, 379.88, 380.51, 375.67, 375.88
11/06/15, 378.01, 382.01, 376.16, 379.95
11/05/15, 380.66, 381.61, 378.12, 378.76
11/04/15, 379.38, 382.55, 379.38, 380.28
11/03/15, 377.03, 378.36, 375.62, 378.36
11/02/15, 374.29, 377.71, 372.89, 376.75
10/30/15, 376.03, 376.96, 373.11, 375.47
10/29/15, 377.16, 377.31, 373.67, 375.70
10/28/15, 371.93, 376.22, 371.56, 375.83
10/27/15, 375.33, 375.33, 371.88, 371.88
10/26/15, 376.85, 377.91, 375.02, 375.89
10/23/15, 371.87, 378.57, 371.87, 377.36
10/22/15, 362.14, 370.53, 361.36, 369.99
10/21/15, 362.55, 364.11, 359.95, 362.64
10/20/15, 364.27, 364.92, 361.04, 362.67
10/19/15, 363.05, 366.08, 362.77, 364.25
10/16/15, 361.81, 364.67, 361.81, 363.13
10/15/15, 356.85, 361.49, 356.85, 360.99
10/14/15, 357.79, 358.74, 354.50, 355.81
10/13/15, 361.64, 361.64, 355.99, 358.47
10/12/15, 363.02, 364.04, 360.77, 361.79
10/09/15, 363.66, 365.31, 362.37, 362.82
10/08/15, 360.28, 362.11, 358.89, 361.61
10/07/15, 361.79, 364.83, 360.05, 360.93
10/06/15, 358.56, 362.11, 355.93, 360.41
10/05/15, 350.83, 358.76, 350.83, 358.33
10/02/15, 347.39, 352.23, 343.21, 347.86
10/01/15, 349.73, 353.07, 345.23, 346.23
09/30/15, 341.15, 348.17, 341.15, 347.77
09/29/15, 338.52, 342.11, 335.44, 339.23
